MAG_status	sequencing	file
HQ	Short-read	LIB-MJ259-G6_04.44
HQ	Short-read	LIB-MJ259-G6_04.44
HQ	Short-read	LIB-MJ251-H4_04.6
HQ	Short-read	LIB-MJ254-G11_02.4
HQ	Short-read	LIB-MJ227-E5_02.13
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.50
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.50
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.50
HQ	Short-read	LIB-MJ227-E5_02.21
HQ	Short-read	LIB-MJ301-F5_01.30
HQ	Short-read	LIB-MJ106-H9_01.20
HQ	Short-read	LIB-MJ259-G6_04.3
HQ	Short-read	LIB-MJ259-G6_04.18
HQ	Short-read	LIB-MJ148-G5_02.23
HQ	Short-read	LIB-MJ190-D11_02.7
HQ	Short-read	LIB-MJ190-D11_02.7
HQ	Short-read	LIB-MJ190-D11_02.7
HQ	Short-read	LIB-MJ190-D11_02.7
HQ	Short-read	LIB-MJ190-D11_02.7
HQ	Short-read	LIB-MJ106-H9_01.5
HQ	Short-read	LIB-MJ106-H9_01.23
HQ	Short-read	LIB-MJ146-C6_01.1
HQ	Short-read	LIB-MJ146-C6_01.1
HQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.4
HQ	Short-read	LIB-MJ306-H8_01.26
HQ	Short-read	LIB-MJ227-E5_02.29
HQ	Short-read	LIB-MJ227-E5_02.29
HQ	Short-read	LIB-MJ227-E5_02.29
HQ	Short-read	LIB-MJ227-E5_02.29
HQ	Short-read	LIB-MJ227-E5_02.29
HQ	Short-read	LIB-MJ301-F5_01.12
HQ	Short-read	LIB-MJ227-E5_02.6
HQ	Short-read	LIB-MJ256-H7_03.22
HQ	Short-read	LIB-MJ301-F5_01.5
HQ	Short-read	LIB-MJ148-G5_02.15
HQ	Short-read	LIB-MJ106-H9_01.34
HQ	Short-read	LIB-MJ198-E1_03.18
MQ	Short-read	LIB-MJ175-B12_02.8
HQ	Short-read	LIB-MJ352-B11_03.25
HQ	Short-read	LIB-MJ352-B11_03.25
HQ	Short-read	LIB-MJ352-B11_03.25
HQ	Short-read	LIB-MJ167-G7_02.15
HQ	Short-read	LIB-MJ167-G7_02.15
HQ	Short-read	LIB-MJ167-G7_02.15
HQ	Short-read	LIB-MJ167-G7_02.15
HQ	Short-read	LIB-MJ167-G7_02.15
HQ	Short-read	LIB-MJ167-G7_02.15
MQ	Short-read	LIB-MJ173-A9_01.1
HQ	Short-read	LIB-MJ259-G6_04.21
MQ	Short-read	LIB-MJ251-H4_04.37
MQ	Short-read	LIB-MJ259-B6_04.24
MQ	Short-read	LIB-MJ259-B6_04.24
MQ	Short-read	LIB-MJ259-B6_04.24
HQ	Short-read	LIB-MJ167-G7_02.6
HQ	Short-read	LIB-MJ167-G7_02.6
HQ	Short-read	LIB-MJ167-G7_02.6
HQ	Short-read	LIB-MJ167-G7_02.6
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ231-B7_04.36
HQ	Short-read	LIB-MJ106-H9_01.18
HQ	Short-read	LIB-MJ105-H8_01.39
HQ	Short-read	LIB-MJ105-H8_01.39
HQ	Short-read	LIB-MJ105-H8_01.39
HQ	Short-read	LIB-MJ175-G4_02.15
HQ	Short-read	LIB-MJ259-B6_04.55
HQ	Short-read	LIB-MJ259-B6_04.55
HQ	Short-read	LIB-MJ259-B6_04.55
HQ	Short-read	LIB-MJ280-F11_02.3
HQ	Short-read	LIB-MJ280-F11_02.3
MQ	Short-read	LIB-MJ135-D8_04.6
HQ	Short-read	LIB-MJ259-G6_04.36
HQ	Short-read	LIB-MJ259-G6_04.36
HQ	Short-read	LIB-MJ259-G6_04.36
HQ	Short-read	LIB-MJ259-G6_04.36
HQ	Short-read	LIB-MJ259-G6_04.36
MQ	Short-read	LIB-MJ130-F1_01.16
HQ	Short-read	LIB-MJ106-H9_01.15
HQ	Short-read	LIB-MJ106-H9_01.15
HQ	Short-read	LIB-MJ301-F5_01.28
HQ	Short-read	LIB-MJ259-G6_04.13
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.39
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.39
HQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.39
HQ	Short-read	LIB-MJ106-H9_01.9
HQ	Short-read	LIB-MJ259-B6_04.29
HQ	Short-read	LIB-MJ259-B6_04.29
HQ	Short-read	LIB-MJ259-B6_04.29
HQ	Short-read	LIB-MJ259-B6_04.29
HQ	Short-read	LIB-MJ259-B6_04.29
HQ	Short-read	LIB-MJ227-E5_02.17
HQ	Short-read	LIB-MJ227-E5_02.17
HQ	Short-read	LIB-MJ227-E5_02.17
HQ	Short-read	LIB-MJ227-E5_02.17
MQ	Short-read	LIB-MJ190-H7_02.13
MQ	Short-read	LIB-MJ190-H7_02.13
MQ	Short-read	LIB-MJ190-H7_02.13
MQ	Short-read	LIB-MJ190-H7_02.13
MQ	Short-read	LIB-MJ190-H7_02.13
MQ	Short-read	LIB-MJ175-B12_02.10
HQ	Short-read	LIB-MJ301-F5_01.35
HQ	Short-read	LIB-MJ256-H7_03.46
MQ	Short-read	LIB-MJ105-E3_01.4
MQ	Short-read	LIB-MJ175-G4_02.29
MQ	Short-read	LIB-MJ146-C6_01.19
HQ	Short-read	LIB-MJ190-D2_02.9
HQ	Short-read	LIB-MJ190-D2_02.9
HQ	Short-read	LIB-MJ190-D2_02.9
HQ	Short-read	LIB-MJ190-D2_02.9
HQ	Short-read	LIB-MJ133-H11_03.15
MQ	Short-read	LIB-MJ254-E3_02.1
MQ	Short-read	LIB-MJ254-E3_02.1
MQ	Short-read	LIB-MJ254-E3_02.1
MQ	Short-read	LIB-MJ254-E3_02.1
MQ	Short-read	LIB-MJ254-E3_02.1
HQ	Short-read	LIB-MJ148-G5_02.22
HQ	Short-read	LIB-MJ280-F11_02.8
MQ	Short-read	LIB-MJ105-E3_01.9
HQ	Short-read	LIB-MJ106-H9_01.33
MQ	Short-read	LIB-MJ259-B6_04.62
HQ	Short-read	LIB-MJ148-G5_02.21
HQ	Short-read	LIB-MJ256-H7_03.17
HQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.10
MQ	Short-read	LIB-MJ280-F11_02.6
MQ	Short-read	LIB-MJ280-F11_02.6
MQ	Short-read	LIB-MJ227-E5_02.10
HQ	Short-read	LIB-MJ105-H8_01.29
HQ	Short-read	LIB-MJ105-H8_01.29
HQ	Short-read	LIB-MJ306-H8_01.2
HQ	Short-read	LIB-MJ306-H8_01.2
HQ	Short-read	LIB-MJ352-C4_03.4
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.30
MQ	Short-read	LIB-MJ343-G11_01.16
MQ	Short-read	LIB-MJ343-G11_01.16
HQ	Short-read	LIB-MJ256-H7_03.49
MQ	Short-read	LIB-MJ254-G11_02.24
HQ	Short-read	LIB-MJ130-F1_01.11
MQ	Short-read	LIB-MJ193-E10_01.14
MQ	Short-read	LIB-MJ279-F2_02.6
MQ	Short-read	LIB-MJ306-H8_01.30
HQ	Short-read	LIB-MJ352-B11_03.14
MQ	Short-read	LIB-MJ250-H5_04.9
MQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.33
MQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.33
HQ	Short-read	LIB-MJ191-C4_04.16
HQ	Short-read	LIB-MJ191-C4_04.16
HQ	Short-read	LIB-MJ191-C4_04.16
HQ	Short-read	LIB-MJ110-D7_04_v_LIB-MJ415-C2_04.10
MQ	Short-read	LIB-MJ193-H10_01_v_LIB-MJ402-F8_04.19
HQ	Short-read	LIB-MJ254-E3_02.18
MQ	Short-read	LIB-MJ190-D2_02.5
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.45
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.13
MQ	Short-read	LIB-MJ134-B6_03.19
MQ	Short-read	LIB-MJ134-B6_03.19
MQ	Short-read	LIB-MJ134-B6_03.19
HQ	Short-read	LIB-MJ301-F5_01.24
HQ	Short-read	LIB-MJ259-B6_04.58
HQ	Short-read	LIB-MJ196-F6_02.33
MQ	Short-read	LIB-MJ347-D6_04_v_LIB-MJ368-D6_03.6
MQ	Short-read	LIB-MJ259-G6_04.54
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.15
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.15
MQ	Short-read	LIB-MJ227-E5_02.5
HQ	Short-read	LIB-MJ259-G10_04.2
HQ	Short-read	LIB-MJ201-D8_03.14
MQ	Short-read	LIB-MJ148-G5_02.24
HQ	Short-read	LIB-MJ194-A2_04.20
MQ	Short-read	LIB-MJ279-F2_02.8
MQ	Short-read	LIB-MJ279-F2_02.8
MQ	Short-read	LIB-MJ176-C4_03.14
MQ	Short-read	LIB-MJ130-F1_01.15
MQ	Short-read	LIB-MJ130-F1_01.15
HQ	Short-read	LIB-MJ190-E2_02.9
HQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.39
HQ	Short-read	LIB-MJ193-H10_01_v_LIB-MJ402-F8_04.9
HQ	Short-read	LIB-MJ177-H2_03_v_LIB-MJ408-E11_04.18
MQ	Short-read	LIB-MJ259-B6_04.42
MQ	Short-read	LIB-MJ173-A9_01.22
MQ	Short-read	LIB-MJ134-A11_03.4
MQ	Short-read	LIB-MJ228-D9_01.13
MQ	Short-read	LIB-MJ338-A7_04.5
MQ	Short-read	LIB-MJ338-A7_04.5
MQ	Short-read	LIB-MJ338-A7_04.5
MQ	Short-read	LIB-MJ251-G7_04.1
MQ	Short-read	LIB-MJ134-B6_03.17
MQ	Short-read	LIB-MJ301-F5_01.9
MQ	Short-read	LIB-MJ050-E6_02.10
MQ	Short-read	LIB-MJ259-B6_04.73
MQ	Short-read	LIB-MJ259-B6_04.1
HQ	Short-read	LIB-MJ256-H7_03.43
HQ	Short-read	LIB-MJ134-A11_03.5
HQ	Short-read	LIB-MJ134-A11_03.5
MQ	Short-read	LIB-MJ228-D9_01.23
MQ	Short-read	LIB-MJ228-D9_01.23
MQ	Short-read	LIB-MJ228-D9_01.23
HQ	Short-read	LIB-MJ256-H7_03.52
HQ	Short-read	LIB-MJ230-E3_03.15
HQ	Short-read	LIB-MJ306-H8_01.12
MQ	Short-read	LIB-MJ280-B8_02.4
HQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.27
HQ	Short-read	LIB-MJ256-H7_03.53
HQ	Short-read	LIB-MJ198-E1_03.20
MQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.1
MQ	Short-read	LIB-MJ306-H8_01.29
MQ	Short-read	LIB-MJ306-H8_01.1
MQ	Short-read	LIB-MJ259-B6_04.38
MQ	Short-read	LIB-MJ227-E5_02.14
MQ	Short-read	LIB-MJ175-G4_02.45
MQ	Short-read	LIB-MJ175-G4_02.45
MQ	Short-read	LIB-MJ175-G4_02.45
MQ	Short-read	LIB-MJ259-B6_04.72
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.28
MQ	Short-read	LIB-MJ256-H7_03.39
MQ	Short-read	LIB-MJ251-H4_04.1
MQ	Short-read	LIB-MJ191-C4_04.6
MQ	Short-read	LIB-MJ106-H9_01.19
MQ	Short-read	LIB-MJ214-C1_02.4
MQ	Short-read	LIB-MJ088-C12_04_v_LIB-MJ365-C12_02.30
MQ	Short-read	LIB-MJ105-H8_01.20
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.55
MQ	Short-read	LIB-MJ280-F11_02.13
MQ	Short-read	LIB-MJ254-E3_02.19
MQ	Short-read	LIB-MJ280-F11_02.16
MQ	Short-read	LIB-MJ196-F6_02.18
MQ	Short-read	LIB-MJ227-E5_02.16
MQ	Short-read	LIB-MJ306-H8_01.10
MQ	Short-read	LIB-MJ228-D9_01.19
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.48
MQ	Short-read	LIB-MJ201-D8_03.2
MQ	Short-read	LIB-MJ198-E1_03.26
MQ	Short-read	LIB-MJ088-C12_04_v_LIB-MJ365-C12_02.2
HQ	Short-read	LIB-MJ133-H11_03.6
MQ	Short-read	LIB-MJ347-D6_04_v_LIB-MJ368-D6_03.9
MQ	Short-read	LIB-MJ134-A11_03.6
HQ	Short-read	LIB-MJ251-G7_04.13
MQ	Short-read	LIB-MJ134-B6_03.2
MQ	Short-read	LIB-MJ259-G6_04.39
MQ	Short-read	LIB-MJ191-C4_04.3
MQ	Short-read	LIB-MJ134-B6_03.28
MQ	Short-read	LIB-MJ306-H8_01.33
MQ	Short-read	LIB-MJ146-C6_01.25
MQ	Short-read	LIB-MJ148-G5_02.13
MQ	Short-read	LIB-MJ105-H8_01.27
MQ	Short-read	LIB-MJ190-H7_02.12
MQ	Short-read	LIB-MJ106-D6_01.4
MQ	Short-read	LIB-MJ106-D6_01.4
MQ	Short-read	LIB-MJ106-D6_01.4
MQ	Short-read	LIB-MJ256-H7_03.29
MQ	Short-read	LIB-MJ106-H9_01.25
MQ	Short-read	LIB-MJ151-E10_04.2
MQ	Short-read	LIB-MJ151-E10_04.2
MQ	Short-read	LIB-MJ191-C4_04.11
MQ	Short-read	LIB-MJ250-H7_04.4
MQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.29
MQ	Short-read	LIB-MJ259-B6_04.48
MQ	Short-read	LIB-MJ259-B6_04.53
MQ	Short-read	LIB-MJ256-A2_03.8
MQ	Short-read	LIB-MJ175-G4_02.39
MQ	Short-read	LIB-MJ301-F5_01.8
MQ	Short-read	LIB-MJ092-B5_01.6
MQ	Short-read	LIB-MJ259-G6_04.45
MQ	Short-read	LIB-MJ230-E3_03.9
MQ	Short-read	LIB-MJ151-E10_04.7
MQ	Short-read	LIB-MJ048-C2_04.10
MQ	Short-read	LIB-MJ194-E3_04.9
MQ	Short-read	LIB-MJ134-B6_03.6
MQ	Short-read	LIB-MJ228-D9_01.25
MQ	Short-read	LIB-MJ177-H2_03_v_LIB-MJ408-E11_04.16
MQ	Short-read	LIB-MJ279-F2_02.10
MQ	Short-read	LIB-MJ279-F2_02.5
MQ	Short-read	LIB-MJ279-F2_02.5
MQ	Short-read	LIB-MJ259-B6_04.39
MQ	Short-read	LIB-MJ227-E5_02.3
MQ	Short-read	LIB-MJ259-G6_04.50
MQ	Short-read	LIB-MJ134-A11_03.3
MQ	Short-read	LIB-MJ259-B6_04.34
MQ	Short-read	LIB-MJ251-H4_04.2
MQ	Short-read	LIB-MJ198-E1_03.45
MQ	Short-read	LIB-MJ352-B11_03.4
MQ	Short-read	LIB-MJ352-B11_03.4
MQ	Short-read	LIB-MJ352-B11_03.4
MQ	Short-read	LIB-MJ352-B11_03.4
MQ	Short-read	LIB-MJ352-B11_03.4
MQ	Short-read	LIB-MJ352-B11_03.4
MQ	Short-read	LIB-MJ198-E1_03.13
MQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.2
MQ	Short-read	LIB-MJ196-F6_02.8
MQ	Short-read	LIB-MJ259-G6_04.22
MQ	Short-read	LIB-MJ250-H5_04.25
MQ	Short-read	LIB-MJ129-B1_02.6
MQ	Short-read	LIB-MJ279-D4_02.6
MQ	Short-read	LIB-MJ259-B6_04.25
MQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.25
MQ	Short-read	LIB-MJ105-E3_01.14
MQ	Short-read	LIB-MJ177-H2_03_v_LIB-MJ408-E11_04.17
MQ	Short-read	LIB-MJ259-G6_04.10
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.26
MQ	Short-read	LIB-MJ194-A2_04.3
MQ	Short-read	LIB-MJ259-G6_04.19
MQ	Short-read	LIB-MJ250-H5_04.21
MQ	Short-read	LIB-MJ048-C2_04.20
MQ	Short-read	LIB-MJ148-B7_02.6
MQ	Short-read	LIB-MJ259-G6_04.31
MQ	Short-read	LIB-MJ259-G10_04.3
MQ	Short-read	LIB-MJ347-D6_04_v_LIB-MJ368-D6_03.2
MQ	Short-read	LIB-MJ194-E3_04.4
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.47
MQ	Short-read	LIB-MJ191-C4_04.9
MQ	Short-read	LIB-MJ105-E3_01.8
MQ	Short-read	LIB-MJ279-D4_02.5
MQ	Short-read	LIB-MJ250-H7_04.2
MQ	Short-read	LIB-MJ256-H7_03.25
MQ	Short-read	LIB-MJ251-G7_04.9
MQ	Short-read	LIB-MJ256-H7_03.9
MQ	Short-read	LIB-MJ194-E3_04.2
MQ	Short-read	LIB-MJ105-H8_01.46
MQ	Short-read	LIB-MJ256-H7_03.36
MQ	Short-read	LIB-MJ194-C12_04.17
MQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.16
MQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.34
MQ	Short-read	LIB-MJ193-H10_01_v_LIB-MJ402-F8_04.20
MQ	Short-read	LIB-MJ190-H7_02.24
MQ	Short-read	LIB-MJ279-D4_02.18
MQ	Short-read	LIB-MJ190-H7_02.20
MQ	Short-read	LIB-MJ196-F6_02.31
MQ	Short-read	LIB-MJ230-E3_03.8
MQ	Short-read	LIB-MJ352-B11_03.10
MQ	Short-read	LIB-MJ106-H9_01.8
MQ	Short-read	LIB-MJ106-H9_01.8
MQ	Short-read	LIB-MJ048-C2_04.17
MQ	Short-read	LIB-MJ177-H2_03_v_LIB-MJ408-E11_04.14
MQ	Short-read	LIB-MJ148-B7_02.3
MQ	Short-read	LIB-MJ146-C6_01.26
MQ	Short-read	LIB-MJ256-H7_03.31
MQ	Short-read	LIB-MJ228-D9_01.10
MQ	Short-read	LIB-MJ256-H7_03.51
MQ	Short-read	LIB-MJ198-E1_03.56
MQ	Short-read	LIB-MJ148-G5_02.7
MQ	Short-read	LIB-MJ230-E3_03.32
MQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.12
MQ	Short-read	LIB-MJ130-B10_01.11
MQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.26
MQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.12
MQ	Short-read	LIB-MJ256-H7_03.40
MQ	Short-read	LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.30
MQ	Short-read	LIB-MJ256-H7_03.13
MQ	Short-read	LIB-MJ176-C4_03.11
MQ	Short-read	LIB-MJ352-B11_03.13
MQ	Short-read	LIB-MJ259-G6_04.56
MQ	Short-read	LIB-MJ106-H9_01.30
MQ	Short-read	LIB-MJ256-H7_03.30
MQ	Short-read	LIB-MJ048-C9_04.18
